customer_id,churn_date,is_churned,churn_reason,churn_type,days_since_last_transaction,last_transaction_date,total_customer_value,customer_lifetime_months,win_back_eligible,prediction_date,actual_churn_date
CUST_000076,,False,,,8,2023-12-24,319.72316091185235,10.266666666666667,False,2023-12-02,
CUST_000077,,False,,,11,2023-12-21,1730.0205345783802,11.366666666666667,False,2023-12-02,
CUST_000078,,False,,,2,2023-12-30,594.2293720833218,21.066666666666666,False,2023-12-02,
CUST_000079,,False,,,28,2023-12-04,3538.931974377323,23.933333333333334,False,2023-12-02,
CUST_000080,,False,,,26,2023-12-06,369.0718506263926,11.866666666666667,False,2023-12-02,
CUST_000081,,False,,,12,2023-12-20,312.83091477190465,4.4,False,2023-12-02,
CUST_000082,,False,,,12,2023-12-20,181.72507002540857,2.4,False,2023-12-02,
CUST_000083,,False,,,1,2023-12-31,180.32496726617043,6.033333333333333,False,2023-12-02,
CUST_000084,2023-10-09,True,Price,Voluntary,21,2023-12-11,175.19887475192417,5.7,True,2023-12-02,2023-10-09
CUST_000085,,False,,,15,2023-12-17,1240.276246188189,22.5,False,2023-12-02,
CUST_000086,,False,,,25,2023-12-07,374.1300946525146,12.833333333333334,False,2023-12-02,
CUST_000087,,False,,,28,2023-12-04,1196.70449397084,20.933333333333334,False,2023-12-02,
CUST_000088,,False,,,20,2023-12-12,974.4937285185769,17.666666666666668,False,2023-12-02,
CUST_000089,,False,,,18,2023-12-14,638.1624919090258,21.6,False,2023-12-02,
CUST_000090,,False,,,7,2023-12-25,707.7578359480157,24.233333333333334,False,2023-12-02,
CUST_000091,2023-12-31,True,Price,Voluntary,5,2023-12-27,118.8439766187444,1.1666666666666667,True,2023-12-02,2023-12-31
CUST_000092,,False,,,9,2023-12-23,482.5902907472923,17.3,False,2023-12-02,
CUST_000093,,False,,,30,2023-12-02,94.06854982507838,3.0,False,2023-12-02,
CUST_000094,,False,,,30,2023-12-02,121.30263720811863,2.0,False,2023-12-02,
CUST_000095,,False,,,8,2023-12-24,634.4529479234945,22.266666666666666,False,2023-12-02,
CUST_000096,2023-04-07,True,Service Quality,Voluntary,16,2023-12-16,682.0941176557394,11.533333333333333,True,2023-12-02,2023-04-07
CUST_000097,2023-12-08,True,Technical Issues,Voluntary,17,2023-12-15,436.8502255519103,6.566666666666666,True,2023-12-02,2023-12-08
CUST_000098,2022-05-12,True,Service Quality,Voluntary,18,2023-12-14,1217.4918131871782,23.6,True,2023-12-02,2022-05-12
CUST_000099,2023-12-26,True,Service Quality,Voluntary,12,2023-12-20,185.12568544439176,2.4,True,2023-12-02,2023-12-26
CUST_000100,,False,,,5,2023-12-27,343.28710313982253,13.166666666666666,False,2023-12-02,
CUST_000101,2023-12-09,True,Service Quality,Voluntary,11,2023-12-21,1647.6202075397619,11.366666666666667,True,2023-12-02,2023-12-09
CUST_000102,,False,,,5,2023-12-27,1256.0575542186032,24.166666666666668,False,2023-12-02,
CUST_000103,,False,,,8,2023-12-24,122.99132651124373,4.266666666666667,False,2023-12-02,
CUST_000104,,False,,,15,2023-12-17,116.13112071088926,3.5,False,2023-12-02,
CUST_000105,,False,,,11,2023-12-21,409.8374306418123,13.366666666666667,False,2023-12-02,
CUST_000106,,False,,,10,2023-12-22,926.1053999253515,14.333333333333334,False,2023-12-02,
CUST_000107,2023-04-12,True,Price,Voluntary,18,2023-12-14,461.8844287975745,15.6,True,2023-12-02,2023-04-12
CUST_000108,,False,,,24,2023-12-08,56.893152975669864,1.8,False,2023-12-02,
CUST_000109,,False,,,3,2023-12-29,123.67140993371152,4.433333333333334,False,2023-12-02,
CUST_000110,,False,,,5,2023-12-27,1289.4043338189522,23.166666666666668,False,2023-12-02,
CUST_000111,,False,,,2,2023-12-30,2442.0609828220845,16.066666666666666,False,2023-12-02,
CUST_000112,,False,,,23,2023-12-09,2804.786947602387,21.766666666666666,False,2023-12-02,
CUST_000113,,False,,,8,2023-12-24,622.2158494812661,21.266666666666666,False,2023-12-02,
CUST_000114,2023-05-07,True,Service Quality,Voluntary,8,2023-12-24,1329.1561869720567,9.266666666666667,True,2023-12-02,2023-05-07
CUST_000115,,False,,,10,2023-12-22,361.6834861560617,14.333333333333334,False,2023-12-02,
CUST_000116,,False,,,3,2023-12-29,1325.5754058969976,23.1,False,2023-12-02,
CUST_000117,,False,,,3,2023-12-29,331.7713848922542,11.1,False,2023-12-02,
CUST_000118,2023-09-25,True,Service Quality,Voluntary,20,2023-12-12,1256.626091379455,8.666666666666666,True,2023-12-02,2023-09-25
CUST_000119,,False,,,26,2023-12-06,1282.863018999134,21.866666666666667,False,2023-12-02,
CUST_000120,,False,,,3,2023-12-29,637.1068196677529,22.1,False,2023-12-02,
CUST_000121,2023-02-20,True,Price,Voluntary,4,2023-12-28,1476.202330898971,24.133333333333333,True,2023-12-02,2023-02-20
CUST_000122,2023-06-27,True,Technical Issues,Voluntary,23,2023-12-09,2445.633112702247,17.766666666666666,True,2023-12-02,2023-06-27
CUST_000123,,False,,,2,2023-12-30,287.8831138907356,4.066666666666666,False,2023-12-02,
CUST_000124,2023-05-16,True,Price,Voluntary,23,2023-12-09,497.745370081674,16.766666666666666,True,2023-12-02,2023-05-16
CUST_000125,,False,,,15,2023-12-17,674.4002522695886,23.5,False,2023-12-02,
CUST_000126,,False,,,13,2023-12-19,712.4672050958358,23.433333333333334,False,2023-12-02,
CUST_000127,2023-03-21,True,Service Quality,Voluntary,30,2023-12-02,423.4091259252251,14.0,True,2023-12-02,2023-03-21
CUST_000128,2023-12-16,True,Service Quality,Voluntary,5,2023-12-27,350.3730197109516,5.166666666666667,True,2023-12-02,2023-12-16
CUST_000129,,False,,,4,2023-12-28,1135.835737227332,19.133333333333333,False,2023-12-02,
CUST_000130,,False,,,18,2023-12-14,176.48841288566678,2.6,False,2023-12-02,
CUST_000131,,False,,,24,2023-12-08,121.20333931979366,3.8,False,2023-12-02,
CUST_000132,,False,,,9,2023-12-23,93.3725878914264,2.3,False,2023-12-02,
CUST_000133,2022-04-23,True,Service Quality,Voluntary,4,2023-12-28,1408.2701849508046,23.133333333333333,True,2023-12-02,2022-04-23
CUST_000134,2023-07-15,True,Service Quality,Voluntary,23,2023-12-09,428.7968337286268,15.766666666666667,True,2023-12-02,2023-07-15
CUST_000135,2023-07-10,True,Price,Voluntary,7,2023-12-25,517.0274695357759,17.233333333333334,True,2023-12-02,2023-07-10
CUST_000136,,False,,,21,2023-12-11,652.1875069336004,11.7,False,2023-12-02,
CUST_000137,,False,,,26,2023-12-06,287.6001309301197,10.866666666666667,False,2023-12-02,
CUST_000138,,False,,,15,2023-12-17,408.76163918858686,6.5,False,2023-12-02,
CUST_000139,2023-07-06,True,Price,Voluntary,1,2023-12-31,579.2550836634435,19.033333333333335,True,2023-12-02,2023-07-06
CUST_000140,,False,,,9,2023-12-23,115.67520701076742,3.3,False,2023-12-02,
CUST_000141,,False,,,14,2023-12-18,122.99249189178533,3.466666666666667,False,2023-12-02,
CUST_000142,,False,,,21,2023-12-11,685.2395638025229,23.7,False,2023-12-02,
CUST_000143,,False,,,29,2023-12-03,218.02812193923154,6.966666666666667,False,2023-12-02,
CUST_000144,,False,,,24,2023-12-08,771.0069699511131,16.8,False,2023-12-02,
CUST_000145,,False,,,3,2023-12-29,1902.8443203195068,13.1,False,2023-12-02,
CUST_000146,,False,,,4,2023-12-28,1088.6652642267939,7.133333333333334,False,2023-12-02,
CUST_000147,,False,,,5,2023-12-27,209.40719970531865,6.166666666666667,False,2023-12-02,
CUST_000148,2023-04-14,True,Price,Voluntary,25,2023-12-07,427.4395538186675,14.833333333333334,True,2023-12-02,2023-04-14
CUST_000149,2023-02-17,True,Service Quality,Voluntary,22,2023-12-10,328.3458900938152,11.733333333333333,True,2023-12-02,2023-02-17
CUST_000150,,False,,,3,2023-12-29,591.3784936000889,20.1,False,2023-12-02,
CUST_000151,,False,,,27,2023-12-05,547.4720953486504,17.9,False,2023-12-02,
CUST_000152,,False,,,25,2023-12-07,406.84812765086707,12.833333333333334,False,2023-12-02,
CUST_000153,,False,,,14,2023-12-18,765.9418176669208,13.466666666666667,False,2023-12-02,
CUST_000154,,False,,,9,2023-12-23,564.3922460336576,17.3,False,2023-12-02,
CUST_000155,,False,,,9,2023-12-23,666.2577877520492,22.3,False,2023-12-02,
CUST_000156,2023-10-28,True,Service Quality,Voluntary,4,2023-12-28,521.6475032285916,19.133333333333333,True,2023-12-02,2023-10-28
CUST_000157,2023-11-05,True,Service Quality,Voluntary,29,2023-12-03,114.32087409755844,3.966666666666667,True,2023-12-02,2023-11-05
CUST_000158,,False,,,2,2023-12-30,517.3949002473912,18.066666666666666,False,2023-12-02,
CUST_000159,,False,,,19,2023-12-13,434.9625310035167,15.633333333333333,False,2023-12-02,
CUST_000160,,False,,,23,2023-12-09,145.8309643170213,5.766666666666667,False,2023-12-02,
CUST_000161,2023-06-05,True,Competition,Voluntary,3,2023-12-29,307.2820070852435,10.1,True,2023-12-02,2023-06-05
CUST_000162,,False,,,15,2023-12-17,125.13413323934539,1.5,False,2023-12-02,
CUST_000163,,False,,,27,2023-12-05,438.8724460321763,15.9,False,2023-12-02,
CUST_000164,,False,,,4,2023-12-28,745.8387213026557,12.133333333333333,False,2023-12-02,
CUST_000165,,False,,,2,2023-12-30,374.1231960386286,13.066666666666666,False,2023-12-02,
CUST_000166,2023-08-06,True,Price,Voluntary,14,2023-12-18,2459.519769328445,18.466666666666665,True,2023-12-02,2023-08-06
CUST_000167,,False,,,11,2023-12-21,580.3754071916048,20.366666666666667,False,2023-12-02,
CUST_000168,,False,,,9,2023-12-23,204.82618744898886,7.3,False,2023-12-02,
CUST_000169,,False,,,6,2023-12-26,293.93640899025195,10.2,False,2023-12-02,
CUST_000170,,False,,,27,2023-12-05,441.49248768513337,14.9,False,2023-12-02,
CUST_000171,,False,,,30,2023-12-02,579.9294500234954,19.0,False,2023-12-02,
CUST_000172,,False,,,22,2023-12-10,87.87442838148039,2.7333333333333334,False,2023-12-02,
CUST_000173,,False,,,2,2023-12-30,694.0199022282544,24.066666666666666,False,2023-12-02,
CUST_000174,,False,,,21,2023-12-11,173.0380548660744,6.7,False,2023-12-02,
CUST_000175,,False,,,14,2023-12-18,526.631801543854,18.466666666666665,False,2023-12-02,
CUST_000176,,False,,,3,2023-12-29,625.3847274687297,22.1,False,2023-12-02,
CUST_000177,,False,,,22,2023-12-10,2282.839480376166,16.733333333333334,False,2023-12-02,
CUST_000178,2023-03-04,True,Price,Voluntary,14,2023-12-18,1206.421529965934,20.466666666666665,True,2023-12-02,2023-03-04
CUST_000179,,False,,,28,2023-12-04,61.52771825836913,1.9333333333333333,False,2023-12-02,
CUST_000180,,False,,,7,2023-12-25,2100.0278593583234,15.233333333333333,False,2023-12-02,
CUST_000181,2023-12-03,True,Service Quality,Voluntary,30,2023-12-02,86.21195489157618,3.0,True,2023-12-02,2023-12-03
CUST_000182,,False,,,15,2023-12-17,1018.8374670201822,17.5,False,2023-12-02,
CUST_000183,,False,,,10,2023-12-22,606.0284051642805,19.333333333333332,False,2023-12-02,
CUST_000184,,False,,,9,2023-12-23,405.08477534183004,14.3,False,2023-12-02,
CUST_000185,,False,,,5,2023-12-27,179.3378574246461,2.1666666666666665,False,2023-12-02,
CUST_000186,,False,,,10,2023-12-22,120.84918654991966,3.3333333333333335,False,2023-12-02,
CUST_000187,,False,,,12,2023-12-20,849.5815322544163,14.4,False,2023-12-02,
CUST_000188,,False,,,18,2023-12-14,1354.7220038656355,23.6,False,2023-12-02,
CUST_000189,,False,,,4,2023-12-28,322.65039063702216,10.133333333333333,False,2023-12-02,
CUST_000190,,False,,,18,2023-12-14,336.07123029643583,10.6,False,2023-12-02,
CUST_000191,,False,,,26,2023-12-06,315.97362784392374,10.866666666666667,False,2023-12-02,
CUST_000192,2022-12-30,True,Technical Issues,Voluntary,10,2023-12-22,536.9819451996202,19.333333333333332,True,2023-12-02,2022-12-30
CUST_000193,2023-01-18,True,Service Quality,Voluntary,1,2023-12-31,807.2604319061006,13.033333333333333,True,2023-12-02,2023-01-18
CUST_000194,,False,,,28,2023-12-04,218.033387916728,6.933333333333334,False,2023-12-02,
CUST_000195,,False,,,8,2023-12-24,123.9840576791589,2.533333333333333,False,2023-12-02,
CUST_000196,,False,,,27,2023-12-05,675.6780998468439,22.9,False,2023-12-02,
CUST_000197,2023-12-11,True,Service Quality,Voluntary,8,2023-12-24,441.6337298714006,2.2666666666666666,True,2023-12-02,2023-12-11
CUST_000198,,False,,,17,2023-12-15,1931.9059806502519,13.566666666666666,False,2023-12-02,
CUST_000199,2023-12-08,True,Price,Voluntary,29,2023-12-03,516.0974449739498,8.966666666666667,True,2023-12-02,2023-12-08
CUST_000200,,False,,,4,2023-12-28,116.59891597771444,4.133333333333334,False,2023-12-02,
CUST_000201,,False,,,1,2023-12-31,554.3144388196307,17.033333333333335,False,2023-12-02,
CUST_000202,2023-05-02,True,Technical Issues,Voluntary,22,2023-12-10,689.3217117206015,12.733333333333333,True,2023-12-02,2023-05-02
CUST_000203,,False,,,1,2023-12-31,93.61712327560454,2.033333333333333,False,2023-12-02,
CUST_000204,,False,,,17,2023-12-15,1497.3639463159377,10.566666666666666,False,2023-12-02,
CUST_000205,,False,,,20,2023-12-12,678.4215890063302,21.666666666666668,False,2023-12-02,
CUST_000206,,False,,,7,2023-12-25,235.49924406189328,7.233333333333333,False,2023-12-02,
CUST_000207,2023-05-06,True,Service Quality,Voluntary,21,2023-12-11,1636.831046841021,11.7,True,2023-12-02,2023-05-06
CUST_000208,,False,,,3,2023-12-29,283.6644859326737,8.1,False,2023-12-02,
CUST_000209,2023-12-09,True,Price,Voluntary,6,2023-12-26,92.97648589258779,2.2,True,2023-12-02,2023-12-09
CUST_000210,,False,,,4,2023-12-28,344.10801118891806,13.133333333333333,False,2023-12-02,
CUST_000211,,False,,,14,2023-12-18,315.32058965989995,5.466666666666667,False,2023-12-02,
CUST_000212,,False,,,22,2023-12-10,379.83893834636274,13.733333333333333,False,2023-12-02,
CUST_000213,,False,,,16,2023-12-16,486.07502181681633,19.533333333333335,False,2023-12-02,
CUST_000214,,False,,,12,2023-12-20,553.2830903018087,9.4,False,2023-12-02,
CUST_000215,,False,,,27,2023-12-05,60.257862700424326,1.9,False,2023-12-02,
CUST_000216,,False,,,4,2023-12-28,57.080085605347,1.1333333333333333,False,2023-12-02,
CUST_000217,2022-12-02,True,Price,Voluntary,8,2023-12-24,439.6022117246142,15.266666666666667,True,2023-12-02,2022-12-02
CUST_000218,2023-07-30,True,Price,Voluntary,18,2023-12-14,1333.7924550609714,9.6,True,2023-12-02,2023-07-30
CUST_000219,,False,,,3,2023-12-29,718.517048583502,24.1,False,2023-12-02,
CUST_000220,2023-09-10,True,Service Quality,Voluntary,30,2023-12-02,973.7885713458944,18.0,True,2023-12-02,2023-09-10
CUST_000221,,False,,,9,2023-12-23,998.1504159929227,16.3,False,2023-12-02,
CUST_000222,,False,,,14,2023-12-18,373.64820614796605,12.466666666666667,False,2023-12-02,
CUST_000223,,False,,,14,2023-12-18,172.82227313773015,7.466666666666667,False,2023-12-02,
CUST_000224,,False,,,19,2023-12-13,257.0755263710694,8.633333333333333,False,2023-12-02,
CUST_000225,,False,,,14,2023-12-18,186.0952958156271,4.466666666666667,False,2023-12-02,
CUST_000226,2023-12-11,True,Price,Voluntary,12,2023-12-20,116.91749056361571,3.4,True,2023-12-02,2023-12-11
CUST_000227,,False,,,10,2023-12-22,1281.3861387047084,23.333333333333332,False,2023-12-02,
CUST_000228,,False,,,4,2023-12-28,486.1889026346188,18.133333333333333,False,2023-12-02,
CUST_000229,,False,,,19,2023-12-13,328.7871454959002,10.633333333333333,False,2023-12-02,
CUST_000230,,False,,,17,2023-12-15,863.5123523209668,5.566666666666666,False,2023-12-02,
CUST_000231,,False,,,15,2023-12-17,541.5857300229616,19.5,False,2023-12-02,
CUST_000232,,False,,,24,2023-12-08,329.33414860129676,10.8,False,2023-12-02,
CUST_000233,2023-07-30,True,Price,Voluntary,5,2023-12-27,360.5070307323163,13.166666666666666,True,2023-12-02,2023-07-30
CUST_000234,,False,,,18,2023-12-14,306.7694948514569,10.6,False,2023-12-02,
CUST_000235,,False,,,26,2023-12-06,2840.223793574098,21.866666666666667,False,2023-12-02,
CUST_000236,2023-12-23,True,Price,Voluntary,12,2023-12-20,331.1821152803059,11.4,True,2023-12-02,2023-12-23
CUST_000237,,False,,,1,2023-12-31,584.0126072769957,20.033333333333335,False,2023-12-02,
CUST_000238,,False,,,18,2023-12-14,580.1072084829287,19.6,False,2023-12-02,
CUST_000239,,False,,,28,2023-12-04,614.434647973009,3.933333333333333,False,2023-12-02,
CUST_000240,,False,,,26,2023-12-06,491.44687598295303,17.866666666666667,False,2023-12-02,
CUST_000241,,False,,,18,2023-12-14,1275.5494215516862,21.6,False,2023-12-02,
CUST_000242,2023-01-23,True,Service Quality,Voluntary,9,2023-12-23,649.0255019159314,21.3,True,2023-12-02,2023-01-23
CUST_000243,,False,,,9,2023-12-23,629.9308084472609,23.3,False,2023-12-02,
CUST_000244,,False,,,11,2023-12-21,584.332023910062,19.366666666666667,False,2023-12-02,
CUST_000245,,False,,,26,2023-12-06,625.649894867536,22.866666666666667,False,2023-12-02,
CUST_000246,,False,,,4,2023-12-28,728.282276954863,15.133333333333333,False,2023-12-02,
CUST_000247,2023-09-26,True,Price,Voluntary,14,2023-12-18,173.35239996109647,5.466666666666667,True,2023-12-02,2023-09-26
CUST_000248,2023-12-07,True,Service Quality,Voluntary,25,2023-12-07,631.0648454722344,10.833333333333334,True,2023-12-02,2023-12-07
CUST_000249,,False,,,28,2023-12-04,541.7929510714883,17.933333333333334,False,2023-12-02,
CUST_000250,,False,,,12,2023-12-20,171.58528372480768,6.4,False,2023-12-02,
CUST_000251,,False,,,7,2023-12-25,453.50817019279793,14.233333333333333,False,2023-12-02,
CUST_000252,,False,,,9,2023-12-23,1061.5085957909791,16.3,False,2023-12-02,
CUST_000253,,False,,,15,2023-12-17,184.51418273709058,5.5,False,2023-12-02,
CUST_000254,2022-08-22,True,Price,Voluntary,8,2023-12-24,667.9116501727652,22.266666666666666,True,2023-12-02,2022-08-22
CUST_000255,2023-03-07,True,Price,Voluntary,28,2023-12-04,442.99854609522873,17.933333333333334,True,2023-12-02,2023-03-07
CUST_000256,2023-02-19,True,Price,Voluntary,17,2023-12-15,364.5301717195861,13.566666666666666,True,2023-12-02,2023-02-19
CUST_000257,,False,,,23,2023-12-09,203.97419467389545,6.766666666666667,False,2023-12-02,
CUST_000258,,False,,,30,2023-12-02,670.6827800376665,11.0,False,2023-12-02,
CUST_000259,,False,,,30,2023-12-02,413.5336180243362,16.0,False,2023-12-02,
CUST_000260,,False,,,20,2023-12-12,865.3913613163587,14.666666666666666,False,2023-12-02,
CUST_000261,,False,,,9,2023-12-23,1267.1391071538665,22.3,False,2023-12-02,
CUST_000262,,False,,,28,2023-12-04,186.7618398285519,2.933333333333333,False,2023-12-02,
CUST_000263,2023-12-17,True,Price,Voluntary,13,2023-12-19,155.37797358526566,4.433333333333334,True,2023-12-02,2023-12-17
CUST_000264,,False,,,19,2023-12-13,909.1650239463622,14.633333333333333,False,2023-12-02,
CUST_000265,,False,,,6,2023-12-26,624.7020119735864,19.2,False,2023-12-02,
CUST_000266,2023-04-13,True,Service Quality,Voluntary,5,2023-12-27,2109.8022218880888,16.166666666666668,True,2023-12-02,2023-04-13
CUST_000267,2023-05-31,True,Service Quality,Voluntary,22,2023-12-10,1253.3870046056559,21.733333333333334,True,2023-12-02,2023-05-31
CUST_000268,2023-09-24,True,Service Quality,Voluntary,24,2023-12-08,325.88494534849104,10.8,True,2023-12-02,2023-09-24
CUST_000269,,False,,,16,2023-12-16,61.64725184437951,1.5333333333333334,False,2023-12-02,
CUST_000270,,False,,,22,2023-12-10,799.4858289225773,13.733333333333333,False,2023-12-02,
CUST_000271,,False,,,11,2023-12-21,176.30440923244086,5.366666666666666,False,2023-12-02,
